vehicle_type,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),age_of_vehicle,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,urban_or_rural_area,sex_of_casualty
9,1,47,8,1242,13,3,1,1,3,6,30,1,2
9,1,35,6,1275,21,3,2,1,1,6,20,1,1
9,2,19,4,1398,7,3,2,2,3,6,40,1,2
9,1,44,7,1910,7,3,2,2,3,6,40,1,1
3,1,53,8,124,10,3,2,1,6,6,20,1,1
9,1,25,5,2143,2,3,1,1,5,6,30,1,1
9,1,46,8,1896,6,3,2,1,5,6,30,1,1
11,1,50,8,4461,2,3,2,1,6,6,30,1,1
9,1,38,7,1335,32,3,2,1,2,1,40,1,1
9,2,57,9,1595,8,2,2,1,7,6,30,1,2
9,2,27,6,1240,10,3,3,1,2,3,30,1,2
9,1,56,9,1388,14,3,2,1,6,6,30,1,2
9,1,44,7,1560,2,3,2,2,5,6,30,1,1
9,1,44,7,1560,2,3,2,2,5,6,30,1,2
9,1,62,9,1997,13,3,1,1,7,3,30,1,2
9,2,27,6,1598,9,3,3,2,4,6,30,1,2
9,1,37,7,1896,8,3,3,2,4,6,30,1,1
19,1,25,5,2287,8,3,2,3,6,6,30,1,1
19,1,25,5,2287,8,3,2,3,6,6,30,1,1
9,1,30,6,1396,1,3,2,1,5,6,30,1,1
5,1,37,7,750,16,3,2,1,6,6,30,1,1
3,1,23,5,125,6,2,2,1,7,6,30,1,1
9,2,40,7,1329,3,3,2,1,5,6,40,2,2
8,1,44,7,2402,9,3,2,3,1,3,40,1,1
8,1,44,7,2402,9,3,2,3,1,3,40,1,2
9,2,55,8,998,13,3,2,1,1,6,30,1,2
9,1,76,11,1560,2,3,3,1,6,1,30,1,1
9,2,27,6,1390,2,3,1,1,4,6,30,1,1
5,1,50,8,650,16,2,3,1,4,6,30,1,1
5,1,52,8,1200,17,3,1,1,3,6,30,1,1
11,1,59,9,5883,14,3,1,1,7,6,30,1,2
9,2,76,11,1753,13,3,2,2,7,3,40,1,2
9,2,35,6,1582,3,3,2,2,7,3,40,1,2
9,2,21,5,998,1,3,2,1,7,3,30,1,2
9,1,51,8,2099,8,3,2,2,2,6,30,1,1
9,1,51,8,2099,8,3,2,2,2,6,30,1,2
